player_name,player_url,year,team_name,team_url,age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
Tommy Soderstrom,/players/s/soderto01.html,1994,PHI,/teams/PHI/1994.html,24,34,,6,18,4,116,851,735,.864,4.01,2,1736,,,,130,-26.71,0,0,0,0
Christian Soucy,/players/s/soucych01.html,1994,CHI,/teams/CHI/1994.html,23,1,,0,0,0,0,0,0,,0.00,0,3,,,,,,0,0,0,0
Robb Stauber,/players/s/staubro01.html,1994,LAK,/teams/LAK/1994.html,26,22,,4,11,5,65,706,641,.908,3.41,1,1144,,,,88,9.08,0,0,0,18
Rick Tabaracci,/players/t/tabarri01.html,1994,WSH,/teams/WSH/1994.html,25,32,,13,14,2,91,817,726,.889,3.08,2,1770,,,,106,-5.27,0,0,0,6
Chris Terreri,/players/t/terrech01.html,1994,NJD,/teams/NJD/1994.html,29,44,,20,11,4,106,1141,1035,.907,2.72,2,2340,,,,89,13.72,0,2,2,4
Jocelyn Thibault,/players/t/thibajo01.html,1994,QUE,/teams/QUE/1994.html,19,29,,8,13,3,83,768,685,.892,3.31,0,1504,,,,103,-2.42,0,0,0,2
Andrei Trefilov,/players/t/trefian01.html,1994,CGY,/teams/CGY/1994.html,24,11,,3,4,2,26,305,279,.915,2.50,2,623,,,,,,0,0,0,4
Ron Tugnutt,/players/t/tugnuro01.html,1994,,,26,36,,12,18,2,100,1000,900,.900,3.16,1,1898,,,,95,4.93,0,0,0,2
John Vanbiesbrouck,/players/v/vanbijo01.html,1994,FLA,/teams/FLA/1994.html,30,57,,21,25,11,145,1912,1767,.924,2.53,1,3440,,,,72,55.62,0,0,0,38
Mike Vernon,/players/v/vernomi01.html,1994,CGY,/teams/CGY/1994.html,30,48,,26,17,5,131,1209,1078,.892,2.81,3,2798,,,,103,-4.14,0,0,0,14
Jimmy Waite,/players/w/waiteji01.html,1994,SJS,/teams/SJS/1994.html,24,15,,3,7,0,50,319,269,.843,4.30,0,697,,,,,,0,0,0,6
Darcy Wakaluk,/players/w/wakalda01.html,1994,DAL,/teams/DAL/1994.html,27,36,,18,9,6,88,978,890,.910,2.64,3,2000,,,,86,14.62,0,2,2,34
Kay Whitmore,/players/w/whitmka01.html,1994,VAN,/teams/VAN/1994.html,26,32,,18,14,0,113,848,735,.867,3.53,0,1921,,,,127,-24.02,0,0,0,6
Ken Wregget,/players/w/wreggke01.html,1994,PIT,/teams/PIT/1994.html,29,42,,21,12,7,138,1291,1153,.893,3.37,1,2456,,,,102,-2.54,0,1,1,8
Wendell Young,/players/y/youngwe01.html,1994,TBL,/teams/TBL/1994.html,30,9,,2,3,1,20,211,191,.905,2.50,1,480,,,,,,0,0,0,4
Mike Bales,/players/b/balesmi01.html,1995,OTT,/teams/OTT/1995.html,23,1,,0,0,0,0,1,1,1.000,0.00,0,3,,,,,,0,0,0,0
Tom Barrasso,/players/b/barrato01.html,1995,PIT,/teams/PIT/1995.html,29,2,,0,1,1,8,75,67,.893,3.84,0,125,,,,,,0,0,0,0
Don Beaupre,/players/b/beaupdo01.html,1995,OTT,/teams/OTT/1995.html,33,38,,8,25,3,121,1167,1046,.896,3.36,1,2161,,,,104,-4.98,0,0,0,10
Ed Belfour,/players/b/belfoed01.html,1995,CHI,/teams/CHI/1995.html,29,42,,22,15,3,93,990,897,.906,2.28,5,2450,,,,94,5.43,0,3,3,11
Jean-Claude Bergeron,/players/b/bergeje01.html,1995,TBL,/teams/TBL/1995.html,26,17,,3,9,1,49,374,325,.869,3.33,1,883,,,,132,-11.82,0,0,0,2
Craig Billington,/players/b/billicr01.html,1995,,,28,17,,5,7,2,51,380,329,.866,3.62,0,845,,,,135,-13.22,0,0,0,4
Fred Brathwaite,/players/b/brathfr01.html,1995,EDM,/teams/EDM/1995.html,22,14,,2,5,1,40,292,252,.863,3.99,0,601,,,,138,-10.97,0,0,0,0
Martin Brodeur,/players/b/brodema01.html,1995,NJD,/teams/NJD/1995.html,22,40,,19,11,6,89,908,819,.902,2.45,3,2184,,,,99,1.27,0,2,2,2
Sean Burke,/players/b/burkese01.html,1995,HAR,/teams/HAR/1995.html,28,42,,17,19,4,108,1233,1125,.912,2.68,0,2418,,,,88,14.58,0,1,1,8
Jim Carey,/players/c/careyji01.html,1995,WSH,/teams/WSH/1995.html,20,28,,18,6,3,57,654,597,.913,2.13,4,1604,,,,88,8.02,0,0,0,0
Jon Casey,/players/c/caseyjo01.html,1995,STL,/teams/STL/1995.html,32,19,,7,5,4,40,400,360,.900,2.75,0,872,,,,101,-0.23,0,0,0,0
Tim Cheveldae,/players/c/cheveti01.html,1995,WIN,/teams/WIN/1995.html,26,30,,8,16,3,97,818,721,.881,3.70,0,1571,,,,119,-15.67,0,1,1,2
Byron Dafoe,/players/d/dafoeby01.html,1995,WSH,/teams/WSH/1995.html,23,4,,1,1,1,11,80,69,.863,3.53,0,187,,,,,,0,0,0,0
Philippe DeRouville,/players/d/derouph01.html,1995,PIT,/teams/PIT/1995.html,20,1,,1,0,0,3,27,24,.889,3.00,0,60,,,,,,0,0,0,0
Manny Fernandez,/players/f/fernama01.html,1995,DAL,/teams/DAL/1995.html,20,1,,0,1,0,3,27,24,.889,3.05,0,59,,,,,,0,0,0,0
Stephane Fiset,/players/f/fisetst01.html,1995,QUE,/teams/QUE/1995.html,24,32,,17,10,3,87,968,881,.910,2.78,2,1879,,,,90,9.24,0,3,3,2
Mark Fitzpatrick,/players/f/fitzpma01.html,1995,FLA,/teams/FLA/1995.html,26,15,,6,7,2,36,361,325,.900,2.64,2,819,,,,100,-0.11,0,0,0,0
Wade Flaherty,/players/f/flahewa01.html,1995,SJS,/teams/SJS/1995.html,27,18,,5,6,1,44,455,411,.903,3.10,1,852,,,,97,1.24,0,1,1,0
Grant Fuhr,/players/f/fuhrgr01.html,1995,,,32,17,,2,9,3,59,464,405,.873,4.03,0,878,,,,128,-12.87,0,0,0,2
Joaquin Gage,/players/g/gagejo02.html,1995,EDM,/teams/EDM/1995.html,21,2,,0,2,0,7,40,33,.825,4.24,0,99,,,,,,0,1,1,0
Jeff Hackett,/players/h/hackeje01.html,1995,CHI,/teams/CHI/1995.html,26,7,,1,3,2,13,150,137,.913,2.38,0,328,,,,,,0,0,0,0
Dominik Hasek,/players/h/hasekdo01.html,1995,BUF,/teams/BUF/1995.html,30,41,,19,14,7,85,1221,1136,.930,2.11,5,2416,,,,70,36.39,0,0,0,2
Glenn Healy,/players/h/healygl01.html,1995,NYR,/teams/NYR/1995.html,32,17,,8,6,1,35,377,342,.907,2.36,1,888,,,,93,2.48,0,2,2,2
Guy Hebert,/players/h/hebergu01.html,1995,MDA,/teams/MDA/1995.html,28,39,,12,20,4,109,1132,1023,.904,3.13,2,2092,,,,97,3.54,0,0,0,2
Ron Hextall,/players/h/hextaro01.html,1995,PHI,/teams/PHI/1995.html,30,31,,17,9,4,88,801,713,.890,2.89,1,1824,,,,111,-8.36,0,0,0,13
Kelly Hrudey,/players/h/hrudeke01.html,1995,LAK,/teams/LAK/1995.html,34,35,,14,13,5,99,1099,1000,.910,3.14,0,1894,,,,91,10.26,0,0,0,0
Arturs Irbe,/players/i/irbear01.html,1995,SJS,/teams/SJS/1995.html,27,38,,14,19,3,111,1056,945,.895,3.26,4,2043,,,,106,-6.01,0,0,0,4
Pauli Jaks,/players/j/jakspa01.html,1995,LAK,/teams/LAK/1995.html,23,1,,0,0,0,2,25,23,.920,3.00,0,40,,,,,,0,0,0,0
Curtis Joseph,/players/j/josepcu01.html,1995,STL,/teams/STL/1995.html,27,36,,20,10,1,89,904,815,.902,2.79,1,1914,,,,99,0.88,0,1,1,0
Nikolai Khabibulin,/players/k/khabini01.html,1995,WIN,/teams/WIN/1995.html,22,26,,8,9,4,76,723,647,.895,3.41,0,1339,,,,106,-4.12,0,1,1,4
Trevor Kidd,/players/k/kiddtr01.html,1995,CGY,/teams/CGY/1995.html,22,43,,22,14,6,107,1170,1063,.909,2.61,3,2463,,,,92,9.32,0,1,1,2
Olaf Kolzig,/players/k/kolziol01.html,1995,WSH,/teams/WSH/1995.html,24,14,,2,8,2,30,305,275,.902,2.49,0,724,,,,99,0.32,0,0,0,4
Blaine Lacher,/players/l/lachebl01.html,1995,BOS,/teams/BOS/1995.html,24,35,,19,11,2,79,805,726,.902,2.41,4,1965,,,,99,1.03,0,1,1,4
Darrin Madeley,/players/m/madelda01.html,1995,OTT,/teams/OTT/1995.html,26,5,,1,3,0,15,147,132,.898,3.53,0,255,,,,,,0,0,0,0
Kirk McLean,/players/m/mcleaki01.html,1995,VAN,/teams/VAN/1995.html,28,40,,18,12,10,109,1140,1031,.904,2.75,1,2374,,,,96,4.34,0,1,1,4
Jamie McLennan,/players/m/mclenja01.html,1995,NYI,/teams/NYI/1995.html,23,21,,6,11,2,67,539,472,.876,3.39,0,1185,,,,125,-13.41,0,0,0,2
Andy Moog,/players/m/moogan01.html,1995,DAL,/teams/DAL/1995.html,34,31,,10,12,7,72,846,774,.915,2.44,2,1770,,,,86,12.11,0,1,1,14
Jason Muzzatti,/players/m/muzzaja01.html,1995,CGY,/teams/CGY/1995.html,24,1,,0,0,0,0,8,8,1.000,0.00,0,10,,,,,,0,0,0,0
Chris Osgood,/players/o/osgooch01.html,1995,DET,/teams/DET/1995.html,22,19,,14,5,0,41,496,455,.917,2.26,1,1087,,,,83,8.31,0,0,0,2
