player_name,player_url,year,team_name,team_url,age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
Steve Baker,/players/b/bakerst01.html,1980,NYR,/teams/NYR/1980.html,22,27,,9,8,6,79,,,,3.41,1,1391,,,,,,0,0,0,2
Marco Baron,/players/b/baronma01.html,1980,BOS,/teams/BOS/1980.html,20,1,,0,0,0,2,,,,3.00,0,40,,,,,,0,0,0,0
Yves Belanger,/players/b/belanyv01.html,1980,BOS,/teams/BOS/1980.html,27,8,,2,0,3,19,,,,3.48,0,328,,,,,,0,0,0,0
Dan Bouchard,/players/b/bouchda01.html,1980,ATF,/teams/ATF/1980.html,29,53,,23,19,10,163,,,,3.18,2,3076,,,,,,0,1,1,34
Rollie Boutin,/players/b/boutiro01.html,1980,WSH,/teams/WSH/1980.html,22,18,,7,7,1,54,,,,3.50,0,927,,,,,,0,1,1,6
Richard Brodeur,/players/b/broderi01.html,1980,NYI,/teams/NYI/1980.html,27,2,,1,0,0,6,,,,4.50,0,80,,,,,,0,0,0,0
Gary Bromley,/players/b/bromlga01.html,1980,VAN,/teams/VAN/1980.html,30,15,,8,2,4,43,,,,3.00,1,860,,,,,,0,0,0,2
Gerry Cheevers,/players/c/cheevge01.html,1980,BOS,/teams/BOS/1980.html,39,42,,24,11,7,116,,,,2.81,4,2479,,,,,,0,0,0,62
Jim Corsi,/players/c/corsiji01.html,1980,EDM,/teams/EDM/1980.html,25,26,,8,14,3,83,,,,3.65,0,1366,,,,,,0,3,3,6
Jim Craig,/players/c/craigji01.html,1980,ATF,/teams/ATF/1980.html,22,4,,1,2,1,13,,,,3.79,0,206,,,,,,0,0,0,0
Jiri Crha,/players/c/crhaji01.html,1980,TOR,/teams/TOR/1980.html,29,15,,8,7,0,50,,,,3.61,0,830,,,,,,0,0,0,4
Don Cutts,/players/c/cuttsdo01.html,1980,EDM,/teams/EDM/1980.html,26,6,,1,2,1,16,,,,3.57,0,269,,,,,,0,0,0,6
John Davidson,/players/d/davidjo01.html,1980,NYR,/teams/NYR/1980.html,26,41,,20,15,4,122,,,,3.17,2,2306,,,,,,0,2,2,2
Michel Dion,/players/d/dionmi01.html,1980,QUE,/teams/QUE/1980.html,25,50,,15,25,6,171,,,,3.70,2,2773,,,,,,0,0,0,8
Dave Dryden,/players/d/drydeda01.html,1980,EDM,/teams/EDM/1980.html,38,14,,2,7,3,53,,,,4.27,0,744,,,,,,0,0,0,0
Bob Dupuis,/players/d/dupuibo01.html,1980,EDM,/teams/EDM/1980.html,27,1,,0,1,0,4,,,,4.00,0,60,,,,,,0,0,0,0
Don Edwards,/players/e/edwardo01.html,1980,BUF,/teams/BUF/1980.html,24,49,,27,9,12,125,,,,2.57,2,2920,,,,,,0,1,1,8
Gary Edwards,/players/e/edwarga01.html,1980,MNS,/teams/MNS/1980.html,32,26,,9,7,10,82,,,,3.20,0,1539,,,,,,0,0,0,0
Tony Esposito,/players/e/esposto01.html,1980,CBH,/teams/CBH/1980.html,36,69,,31,22,16,205,,,,2.97,6,4140,,,,,,0,1,1,2
John Garrett,/players/g/garrejo01.html,1980,HAR,/teams/HAR/1980.html,28,52,,16,24,11,202,,,,3.98,0,3046,,,,,,0,2,2,12
Gilles Gilbert,/players/g/gilbegi01.html,1980,BOS,/teams/BOS/1980.html,30,33,,20,9,3,88,,,,2.73,1,1933,,,,,,0,1,1,10
Ron Grahame,/players/g/graharo02.html,1980,LAK,/teams/LAK/1980.html,29,26,,9,11,4,98,,,,4.19,2,1405,,,,,,0,1,1,2
Doug Grant,/players/g/grantdo01.html,1980,STL,/teams/STL/1980.html,31,1,,0,0,0,1,,,,1.94,0,31,,,,,,0,0,0,0
Pierre Hamel,/players/h/hamelpi01.html,1980,WIN,/teams/WIN/1980.html,27,35,,9,19,3,130,,,,4.01,0,1947,,,,,,0,2,2,10
Glen Hanlon,/players/h/hanlogl01.html,1980,VAN,/teams/VAN/1980.html,22,57,,17,29,10,193,,,,3.47,0,3341,,,,,,0,1,1,43
Paul Harrison,/players/h/harripa01.html,1980,TOR,/teams/TOR/1980.html,24,30,,9,17,2,110,,,,4.42,0,1492,,,,,,0,1,1,4
Denis Herron,/players/h/herrode01.html,1980,MTL,/teams/MTL/1980.html,27,34,,25,3,3,80,,,,2.51,0,1909,,,,,,0,0,0,0
Goran Hogosta,/players/h/hogosgo01.html,1980,QUE,/teams/QUE/1980.html,25,21,,5,12,3,83,,,,4.15,1,1199,,,,,,0,0,0,0
Rob Holland,/players/h/hollaro01.html,1980,PIT,/teams/PIT/1980.html,22,34,,10,17,6,126,,,,3.83,1,1974,,,,,,0,0,0,2
Gary Inness,/players/i/innesga01.html,1980,WSH,/teams/WSH/1980.html,30,14,,2,9,2,44,,,,3.63,0,727,,,,,,0,0,0,2
Steve Janaszak,/players/j/janasst01.html,1980,MNS,/teams/MNS/1980.html,23,1,,0,0,1,2,,,,2.00,0,60,,,,,,0,0,0,0
Doug Keans,/players/k/keansdo01.html,1980,LAK,/teams/LAK/1980.html,22,10,,3,3,3,23,,,,2.47,0,559,,,,,,0,0,0,0
Michel Larocque,/players/l/larocmi01.html,1980,MTL,/teams/MTL/1980.html,27,39,,17,13,8,125,,,,3.32,3,2259,,,,,,0,2,2,4
Reggie Lemelin,/players/l/lemelre01.html,1980,ATF,/teams/ATF/1980.html,25,3,,0,2,0,15,,,,6.00,0,150,,,,,,0,0,0,0
Mario Lessard,/players/l/lessama01.html,1980,LAK,/teams/LAK/1980.html,25,50,,18,22,7,185,,,,3.91,0,2836,,,,,,0,0,0,6
Jean-Louis Levasseur,/players/l/levasje01.html,1980,MNS,/teams/MNS/1980.html,30,1,,0,1,0,7,,,,7.00,0,60,,,,,,0,0,0,0
Mike Liut,/players/l/liutmi01.html,1980,STL,/teams/STL/1980.html,24,64,,32,23,9,194,,,,3.18,2,3661,,,,,,0,0,0,2
Ron Low,/players/l/lowro01.html,1980,,,29,26,,13,9,3,88,,,,3.57,0,1478,,,,,,0,3,3,0
Markus Mattsson,/players/m/mattsma01.html,1980,WIN,/teams/WIN/1980.html,22,21,,5,11,4,65,,,,3.25,2,1200,,,,,,0,0,0,2
Bill McKenzie,/players/m/mckenbi01.html,1980,CLR,/teams/CLR/1980.html,30,26,,9,12,3,78,,,,3.49,1,1342,,,,,,0,0,0,2
Gilles Meloche,/players/m/melocgi01.html,1980,MNS,/teams/MNS/1980.html,29,54,,27,20,5,160,,,,3.06,1,3141,,,,,,0,1,1,4
Lindsay Middlebrook,/players/m/middlli01.html,1980,WIN,/teams/WIN/1980.html,24,10,,2,8,0,40,,,,4.14,0,580,,,,,,0,0,0,0
Greg Millen,/players/m/millegr01.html,1980,PIT,/teams/PIT/1980.html,22,44,,18,18,7,157,,,,3.64,2,2586,,,,,,0,3,3,14
Eddie Mio,/players/m/mioed01.html,1980,EDM,/teams/EDM/1980.html,26,34,,9,13,5,120,,,,4.21,1,1711,,,,,,0,1,1,4
Phil Myre,/players/m/myreph01.html,1980,PHI,/teams/PHI/1980.html,31,41,,18,7,15,141,,,,3.57,0,2367,,,,,,0,0,0,37
Bill Oleschuk,/players/o/olescbi01.html,1980,CLR,/teams/CLR/1980.html,24,12,,1,6,2,39,,,,4.20,0,557,,,,,,0,0,0,4
Mike Palmateer,/players/p/palmami01.html,1980,TOR,/teams/TOR/1980.html,26,38,,16,14,3,125,,,,3.68,2,2039,,,,,,0,3,3,6
Pete Peeters,/players/p/peetepe01.html,1980,PHI,/teams/PHI/1980.html,22,40,,29,5,5,108,,,,2.73,1,2373,,,,,,0,0,0,28
Michel Plasse,/players/p/plassmi01.html,1980,CLR,/teams/CLR/1980.html,31,6,,0,3,2,26,,,,4.77,0,327,,,,,,0,0,0,0
Glenn Resch,/players/r/reschgl01.html,1980,NYI,/teams/NYI/1980.html,31,45,,23,14,6,132,,,,3.04,3,2606,,,,,,0,3,3,4
Nick Ricci,/players/r/riccini01.html,1980,PIT,/teams/PIT/1980.html,20,4,,2,2,0,14,,,,3.50,0,240,,,,,,0,0,0,0
Curt Ridley,/players/r/ridlecu01.html,1980,,,28,13,,2,7,2,47,,,,3.98,0,709,,,,,,0,0,0,2
Pat Riggin,/players/r/riggipa01.html,1980,ATF,/teams/ATF/1980.html,20,25,,11,9,2,73,,,,3.20,2,1368,,,,,,0,0,0,0
Jim Rutherford,/players/r/rutheji01.html,1980,DET,/teams/DET/1980.html,30,23,,6,13,3,92,,,,4.16,1,1326,,,,,,0,0,0,24
Bob Sauve,/players/s/sauvebo01.html,1980,BUF,/teams/BUF/1980.html,24,32,,20,8,4,74,,,,2.36,4,1880,,,,,,0,4,4,2
Richard Sevigny,/players/s/sevigri01.html,1980,MTL,/teams/MTL/1980.html,22,11,,5,4,2,31,,,,2.94,0,632,,,,,,0,0,0,4
Al Smith,/players/s/smithal03.html,1980,HAR,/teams/HAR/1980.html,34,30,,11,10,8,107,,,,3.66,2,1754,,,,,,0,1,1,10
Billy Smith,/players/s/smithbi01.html,1980,NYI,/teams/NYI/1980.html,29,38,,15,14,7,104,,,,2.95,2,2114,,,,,,1,0,1,39
Gary Smith,/players/s/smithga01.html,1980,WIN,/teams/WIN/1980.html,35,20,,4,11,4,73,,,,4.08,0,1073,,,,,,0,0,0,25
Doug Soetaert,/players/s/soetado01.html,1980,NYR,/teams/NYR/1980.html,24,8,,5,2,0,33,,,,4.55,0,435,,,,,,0,0,0,0
Rick St. Croix,/players/s/stcrori01.html,1980,PHI,/teams/PHI/1980.html,25,1,,1,0,0,2,,,,2.00,0,60,,,,,,0,0,0,0
Ed Staniowski,/players/s/stanied01.html,1980,STL,/teams/STL/1980.html,24,22,,2,11,3,80,,,,4.33,0,1108,,,,,,0,0,0,2
Wayne Stephenson,/players/s/stephwa01.html,1980,WSH,/teams/WSH/1980.html,35,56,,18,24,10,187,,,,3.57,0,3146,,,,,,0,2,2,20
Jim Stewart,/players/s/stewaji01.html,1980,BOS,/teams/BOS/1980.html,22,1,,0,1,0,5,,,,15.00,0,20,,,,,,0,0,0,0
Wayne Thomas,/players/t/thomawa01.html,1980,NYR,/teams/NYR/1980.html,32,12,,4,7,0,44,,,,3.95,0,668,,,,,,0,0,0,0
Vincent Tremblay,/players/t/trembvi01.html,1980,TOR,/teams/TOR/1980.html,20,10,,2,1,0,28,,,,5.11,0,329,,,,,,0,0,0,0
Rogie Vachon,/players/v/vachoro01.html,1980,DET,/teams/DET/1980.html,34,59,,20,30,8,209,,,,3.61,4,3474,,,,,,0,3,3,2
Mike Veisor,/players/v/veisomi01.html,1980,CBH,/teams/CBH/1980.html,27,11,,3,5,3,37,,,,3.36,0,660,,,,,,0,0,0,0
Hardy Astrom,/players/a/astroha01.html,1981,CLR,/teams/CLR/1981.html,29,30,,6,15,6,103,,,,3.76,0,1642,,,,,,0,1,1,2
Steve Baker,/players/b/bakerst01.html,1981,NYR,/teams/NYR/1981.html,23,21,,10,6,5,73,,,,3.48,2,1260,,,,,,0,0,0,5
Murray Bannerman,/players/b/bannemu01.html,1981,CBH,/teams/CBH/1981.html,23,15,,2,10,2,62,,,,4.30,0,865,,,,,,0,0,0,0
Marco Baron,/players/b/baronma01.html,1981,BOS,/teams/BOS/1981.html,21,10,,3,4,1,24,,,,2.84,0,507,,,,,,0,0,0,7
Don Beaupre,/players/b/beaupdo01.html,1981,MNS,/teams/MNS/1981.html,19,44,,18,14,11,138,,,,3.20,0,2585,,,,,,0,1,1,20
Dan Bouchard,/players/b/bouchda01.html,1981,,,30,43,,23,10,8,143,,,,3.43,2,2500,,,,,,0,4,4,10
Rollie Boutin,/players/b/boutiro01.html,1981,WSH,/teams/WSH/1981.html,23,2,,0,2,0,11,,,,5.50,0,120,,,,,,0,0,0,0
Richard Brodeur,/players/b/broderi01.html,1981,VAN,/teams/VAN/1981.html,28,52,,17,18,16,177,,,,3.51,0,3024,,,,,,0,0,0,0
Gary Bromley,/players/b/bromlga01.html,1981,VAN,/teams/VAN/1981.html,31,20,,6,6,4,62,,,,3.80,0,978,,,,,,0,1,1,0
Jim Craig,/players/c/craigji01.html,1981,BOS,/teams/BOS/1981.html,23,23,,9,7,6,78,,,,3.68,0,1272,,,,,,0,1,1,11
Jiri Crha,/players/c/crhaji01.html,1981,TOR,/teams/TOR/1981.html,30,54,,20,20,11,211,,,,4.07,0,3112,,,,,,0,1,1,8
John Davidson,/players/d/davidjo01.html,1981,NYR,/teams/NYR/1981.html,27,10,,1,7,1,48,,,,5.14,0,560,,,,,,0,1,1,2
Michel Dion,/players/d/dionmi01.html,1981,,,26,26,,3,14,6,122,,,,5.07,0,1445,,,,,,0,1,1,2
Don Edwards,/players/e/edwardo01.html,1981,BUF,/teams/BUF/1981.html,25,45,,23,10,12,133,,,,2.96,3,2700,,,,,,0,2,2,0
Gary Edwards,/players/e/edwarga01.html,1981,EDM,/teams/EDM/1981.html,33,15,,5,3,4,44,,,,3.62,0,729,,,,,,0,2,2,0
Tony Esposito,/players/e/esposto01.html,1981,CBH,/teams/CBH/1981.html,37,66,,29,23,14,246,,,,3.75,0,3935,,,,,,0,3,3,0
John Garrett,/players/g/garrejo01.html,1981,HAR,/teams/HAR/1981.html,29,54,,15,27,12,241,,,,4.59,0,3152,,,,,,0,1,1,2
Gilles Gilbert,/players/g/gilbegi01.html,1981,DET,/teams/DET/1981.html,31,48,,11,24,9,175,,,,4.01,0,2618,,,,,,0,1,1,12
Ron Grahame,/players/g/graharo02.html,1981,,,30,14,,4,7,2,68,,,,5.11,0,799,,,,,,0,0,0,2
Pierre Hamel,/players/h/hamelpi01.html,1981,WIN,/teams/WIN/1981.html,28,29,,3,20,4,128,,,,4.73,0,1623,,,,,,0,1,1,4
Glen Hanlon,/players/h/hanlogl01.html,1981,VAN,/teams/VAN/1981.html,23,17,,5,8,0,59,,,,4.44,1,798,,,,,,0,1,1,10
Rick Heinz,/players/h/heinzri01.html,1981,STL,/teams/STL/1981.html,25,4,,2,1,1,8,,,,2.18,0,220,,,,,,0,1,1,0
Denis Herron,/players/h/herrode01.html,1981,MTL,/teams/MTL/1981.html,28,25,,6,9,6,67,,,,3.50,1,1147,,,,,,0,2,2,0
Ken Holland,/players/h/hollake01.html,1981,HAR,/teams/HAR/1981.html,25,1,,0,1,0,7,,,,7.00,0,60,,,,,,0,0,0,0
Rob Holland,/players/h/hollaro01.html,1981,PIT,/teams/PIT/1981.html,23,10,,1,5,3,45,,,,5.01,0,539,,,,,,0,0,0,0
Gary Inness,/players/i/innesga01.html,1981,WSH,/teams/WSH/1981.html,31,3,,0,1,2,9,,,,3.00,0,180,,,,,,0,0,0,0
Al Jensen,/players/j/jenseal01.html,1981,DET,/teams/DET/1981.html,22,1,,0,1,0,7,,,,7.00,0,60,,,,,,0,0,0,0
Jari Kaarela,/players/k/kaareja01.html,1981,CLR,/teams/CLR/1981.html,22,5,,2,2,0,22,,,,6.00,0,220,,,,,,0,0,0,2
Doug Keans,/players/k/keansdo01.html,1981,LAK,/teams/LAK/1981.html,23,9,,2,3,1,37,,,,4.89,0,454,,,,,,0,0,0,7
Michel Larocque,/players/l/larocmi01.html,1981,,,28,36,,19,12,5,122,,,,3.51,1,2083,,,,,,0,1,1,2
Claude Legris,/players/l/legricl01.html,1981,DET,/teams/DET/1981.html,24,3,,0,1,0,4,,,,3.81,0,63,,,,,,0,0,0,0
Reggie Lemelin,/players/l/lemelre01.html,1981,CGY,/teams/CGY/1981.html,26,29,,14,6,7,88,,,,3.24,2,1629,,,,,,0,1,1,2
Mario Lessard,/players/l/lessama01.html,1981,LAK,/teams/LAK/1981.html,26,64,,35,18,11,203,,,,3.25,2,3746,,,,,,0,1,1,8
Mike Liut,/players/l/liutmi01.html,1981,STL,/teams/STL/1981.html,25,61,,33,14,13,199,,,,3.34,1,3570,,,,,,0,0,0,0
Pete LoPresti,/players/l/loprepe01.html,1981,EDM,/teams/EDM/1981.html,26,2,,0,1,0,8,,,,4.57,0,105,,,,,,0,0,0,0
Ron Loustel,/players/l/loustro01.html,1981,WIN,/teams/WIN/1981.html,18,1,,0,1,0,10,,,,10.00,0,60,,,,,,0,0,0,0
Ron Low,/players/l/lowro01.html,1981,EDM,/teams/EDM/1981.html,30,24,,5,13,3,93,,,,4.43,0,1260,,,,,,0,3,3,0
Larry Lozinski,/players/l/lozinla01.html,1981,DET,/teams/DET/1981.html,22,30,,6,11,7,105,,,,4.32,0,1459,,,,,,0,1,1,0
Markus Mattsson,/players/m/mattsma01.html,1981,WIN,/teams/WIN/1981.html,23,31,,3,21,4,128,,,,4.50,1,1707,,,,,,0,1,1,2
Roland Melanson,/players/m/melanro01.html,1981,NYI,/teams/NYI/1981.html,20,11,,8,1,1,32,,,,3.10,0,620,,,,,,0,0,0,4
Gilles Meloche,/players/m/melocgi01.html,1981,MNS,/teams/MNS/1981.html,30,38,,17,14,6,120,,,,3.25,2,2215,,,,,,0,0,0,2
Lindsay Middlebrook,/players/m/middlli01.html,1981,WIN,/teams/WIN/1981.html,25,14,,0,9,3,65,,,,5.97,0,653,,,,,,0,0,0,0
Greg Millen,/players/m/millegr01.html,1981,PIT,/teams/PIT/1981.html,23,63,,25,27,10,258,,,,4.16,0,3721,,,,,,0,2,2,6
Eddie Mio,/players/m/mioed01.html,1981,EDM,/teams/EDM/1981.html,27,43,,16,15,9,155,,,,3.89,0,2393,,,,,,0,5,5,6
Andy Moog,/players/m/moogan01.html,1981,EDM,/teams/EDM/1981.html,20,7,,3,3,0,20,,,,3.83,0,313,,,,,,0,1,1,0
Phil Myre,/players/m/myreph01.html,1981,,,32,26,,9,11,5,94,,,,3.81,0,1480,,,,,,0,0,0,0
Paul Pageau,/players/p/pageapa01.html,1981,LAK,/teams/LAK/1981.html,21,1,,0,1,0,8,,,,8.00,0,60,,,,,,0,0,0,0
Mike Palmateer,/players/p/palmami01.html,1981,WSH,/teams/WSH/1981.html,27,49,,18,19,9,172,,,,3.85,2,2679,,,,,,0,8,8,17
Dave Parro,/players/p/parroda01.html,1981,WSH,/teams/WSH/1981.html,23,18,,4,7,2,49,,,,3.63,1,811,,,,,,0,1,1,2
Pete Peeters,/players/p/peetepe01.html,1981,PHI,/teams/PHI/1981.html,23,40,,22,12,5,115,,,,2.96,2,2333,,,,,,0,1,1,8
Michel Plasse,/players/p/plassmi01.html,1981,QUE,/teams/QUE/1981.html,32,33,,10,14,9,118,,,,3.66,0,1933,,,,,,0,1,1,0
Glenn Resch,/players/r/reschgl01.html,1981,,,32,40,,20,11,7,121,,,,3.20,3,2266,,,,,,0,1,1,0
Nick Ricci,/players/r/riccini01.html,1981,PIT,/teams/PIT/1981.html,21,9,,4,5,0,35,,,,3.89,0,540,,,,,,0,0,0,2
Curt Ridley,/players/r/ridlecu01.html,1981,TOR,/teams/TOR/1981.html,29,3,,1,1,0,12,,,,5.81,0,124,,,,,,0,0,0,2
Pat Riggin,/players/r/riggipa01.html,1981,CGY,/teams/CGY/1981.html,21,42,,21,16,4,154,,,,3.83,0,2411,,,,,,0,1,1,7
Jim Rutherford,/players/r/rutheji01.html,1981,,,31,31,,9,16,4,135,,,,4.65,0,1741,,,,,,0,2,2,2
Bob Sauve,/players/s/sauvebo01.html,1981,BUF,/teams/BUF/1981.html,25,35,,16,10,9,111,,,,3.17,2,2100,,,,,,0,1,1,0
Richard Sevigny,/players/s/sevigri01.html,1981,MTL,/teams/MTL/1981.html,23,33,,20,4,3,71,,,,2.40,2,1777,,,,,,0,0,0,30
Al Smith,/players/s/smithal03.html,1981,CLR,/teams/CLR/1981.html,35,37,,9,18,4,151,,,,4.75,0,1909,,,,,,0,2,2,51
Billy Smith,/players/s/smithbi01.html,1981,NYI,/teams/NYI/1981.html,30,41,,22,10,8,129,,,,3.28,2,2363,,,,,,0,0,0,33
Doug Soetaert,/players/s/soetado01.html,1981,NYR,/teams/NYR/1981.html,25,39,,16,16,7,152,,,,3.93,0,2320,,,,,,0,0,0,2
Rick St. Croix,/players/s/stcrori01.html,1981,PHI,/teams/PHI/1981.html,26,27,,13,7,6,65,,,,2.49,2,1567,,,,,,0,1,1,0
Ed Staniowski,/players/s/stanied01.html,1981,STL,/teams/STL/1981.html,25,19,,10,3,3,72,,,,4.28,0,1010,,,,,,0,2,2,0
Wayne Stephenson,/players/s/stephwa01.html,1981,WSH,/teams/WSH/1981.html,36,20,,4,7,5,66,,,,3.92,1,1010,,,,,,0,0,0,4
Wayne Thomas,/players/t/thomawa01.html,1981,NYR,/teams/NYR/1981.html,33,10,,3,6,1,34,,,,3.40,0,600,,,,,,0,2,2,2
Vincent Tremblay,/players/t/trembvi01.html,1981,TOR,/teams/TOR/1981.html,21,3,,0,3,0,16,,,,6.71,0,143,,,,,,0,0,0,0
Rogie Vachon,/players/v/vachoro01.html,1981,BOS,/teams/BOS/1981.html,35,53,,25,19,6,168,,,,3.34,1,3021,,,,,,0,1,1,6
Mike Veisor,/players/v/veisomi01.html,1981,HAR,/teams/HAR/1981.html,28,29,,6,13,6,118,,,,4.46,1,1588,,,,,,0,0,0,0
Rick Wamsley,/players/w/wamslri01.html,1981,MTL,/teams/MTL/1981.html,21,5,,3,0,1,8,,,,1.90,1,253,,,,,,0,0,0,0
Steve Weeks,/players/w/weeksst01.html,1981,NYR,/teams/NYR/1981.html,22,1,,0,1,0,2,,,,2.00,0,60,,,,,,0,0,0,0
Steve Baker,/players/b/bakerst01.html,1982,NYR,/teams/NYR/1982.html,24,6,,1,5,0,33,,,,6.04,0,328,,,,,,0,0,0,0
Murray Bannerman,/players/b/bannemu01.html,1982,CBH,/teams/CBH/1982.html,24,29,,11,12,4,116,,,,4.17,1,1671,,,,,,0,1,1,0
Marco Baron,/players/b/baronma01.html,1982,BOS,/teams/BOS/1982.html,22,44,,22,16,4,144,,,,3.44,1,2515,,,,,,0,2,2,35
Don Beaupre,/players/b/beaupdo01.html,1982,MNS,/teams/MNS/1982.html,20,29,,11,8,9,101,,,,3.71,0,1634,,,,,,0,0,0,19
Mike Blake,/players/b/blakemi02.html,1982,LAK,/teams/LAK/1982.html,25,2,,0,0,0,2,,,,2.35,0,51,,,,,,0,0,0,0
Dan Bouchard,/players/b/bouchda01.html,1982,QUE,/teams/QUE/1982.html,31,60,,27,22,11,230,,,,3.86,1,3572,,,,,,0,3,3,36
Richard Brodeur,/players/b/broderi01.html,1982,VAN,/teams/VAN/1982.html,29,52,,20,18,12,168,,,,3.35,2,3010,,,,,,0,2,2,0
Jacques Cloutier,/players/c/cloutja01.html,1982,BUF,/teams/BUF/1982.html,22,7,,5,1,0,13,,,,2.51,0,311,,,,,,0,0,0,0
John Davidson,/players/d/davidjo01.html,1982,NYR,/teams/NYR/1982.html,28,1,,1,0,0,1,,,,1.00,0,60,,,,,,0,0,0,2
Michel Dion,/players/d/dionmi01.html,1982,PIT,/teams/PIT/1982.html,27,62,,25,24,12,226,,,,3.79,0,3580,,,,,,0,1,1,4
Don Edwards,/players/e/edwardo01.html,1982,BUF,/teams/BUF/1982.html,26,62,,26,23,9,205,,,,3.51,0,3500,,,,,,0,2,2,2
Gary Edwards,/players/e/edwarga01.html,1982,,,34,16,,4,7,2,67,,,,4.79,1,840,,,,,,0,1,1,2
Tony Esposito,/players/e/esposto01.html,1982,CBH,/teams/CBH/1982.html,38,52,,19,25,8,231,,,,4.52,1,3069,,,,,,0,2,2,0
Grant Fuhr,/players/f/fuhrgr01.html,1982,EDM,/teams/EDM/1982.html,19,48,,28,5,14,157,,,,3.31,0,2847,,,,,,0,6,6,6
John Garrett,/players/g/garrejo01.html,1982,,,30,28,,9,11,7,125,,,,4.64,0,1618,,,,,,0,1,1,2
Gilles Gilbert,/players/g/gilbegi01.html,1982,DET,/teams/DET/1982.html,32,27,,6,10,6,105,,,,4.26,0,1478,,,,,,0,0,0,2
Glen Hanlon,/players/h/hanlogl01.html,1982,,,24,30,,8,15,5,114,,,,4.06,1,1686,,,,,,0,0,0,22
Paul Harrison,/players/h/harripa01.html,1982,,,26,19,,5,8,1,78,,,,5.04,0,929,,,,,,0,0,0,2
Rick Heinz,/players/h/heinzri01.html,1982,,,26,12,,4,6,0,44,,,,4.31,1,613,,,,,,0,0,0,0
Denis Herron,/players/h/herrode01.html,1982,MTL,/teams/MTL/1982.html,29,27,,12,6,8,68,,,,2.64,3,1547,,,,,,0,0,0,4
Mark Holden,/players/h/holdema01.html,1982,MTL,/teams/MTL/1982.html,24,1,,0,0,0,0,,,,0.00,0,20,,,,,,0,0,0,0
Steve Janaszak,/players/j/janasst01.html,1982,CLR,/teams/CLR/1982.html,25,2,,0,1,0,13,,,,7.80,0,100,,,,,,0,0,0,0
Al Jensen,/players/j/jenseal01.html,1982,WSH,/teams/WSH/1982.html,23,26,,8,8,4,81,,,,3.81,0,1274,,,,,,0,2,2,6
Doug Keans,/players/k/keansdo01.html,1982,LAK,/teams/LAK/1982.html,24,31,,8,10,7,103,,,,4.30,0,1436,,,,,,0,0,0,0
Rick LaFerriere,/players/l/laferri01.html,1982,CLR,/teams/CLR/1982.html,21,1,,0,0,0,1,,,,3.00,0,20,,,,,,0,0,0,0
Michel Larocque,/players/l/larocmi01.html,1982,TOR,/teams/TOR/1982.html,29,50,,10,24,8,207,,,,4.69,0,2647,,,,,,0,3,3,2
Claude Legris,/players/l/legricl01.html,1982,DET,/teams/DET/1982.html,25,1,,0,0,1,0,,,,0.00,0,28,,,,,,0,0,0,0
Reggie Lemelin,/players/l/lemelre01.html,1982,CGY,/teams/CGY/1982.html,27,34,,10,15,6,135,,,,4.34,0,1866,,,,,,0,1,1,0
Mario Lessard,/players/l/lessama01.html,1982,LAK,/teams/LAK/1982.html,27,52,,13,28,8,213,,,,4.36,2,2933,,,,,,0,2,2,6
Pelle Lindbergh,/players/l/lindbpe01.html,1982,PHI,/teams/PHI/1982.html,22,8,,2,4,2,35,,,,4.37,0,480,,,,,,0,0,0,0
Mike Liut,/players/l/liutmi01.html,1982,STL,/teams/STL/1982.html,26,64,,28,28,7,250,,,,4.06,2,3691,,,,,,0,2,2,2
Ron Low,/players/l/lowro01.html,1982,EDM,/teams/EDM/1982.html,31,29,,17,7,1,100,,,,3.86,0,1554,,,,,,0,0,0,2
Clint Malarchuk,/players/m/malarcl01.html,1982,QUE,/teams/QUE/1982.html,20,2,,0,1,1,14,,,,7.00,0,120,,,,,,0,0,0,0
Roland Melanson,/players/m/melanro01.html,1982,NYI,/teams/NYI/1982.html,21,36,,22,7,6,114,,,,3.23,0,2115,,,,,,0,0,0,14
Gilles Meloche,/players/m/melocgi01.html,1982,MNS,/teams/MNS/1982.html,31,51,,26,15,9,175,,,,3.47,1,3026,,,,,,0,1,1,6
Corrado Micalef,/players/m/micalco01.html,1982,DET,/teams/DET/1982.html,20,18,,4,10,1,63,,,,4.67,0,809,,,,,,0,0,0,9
Lindsay Middlebrook,/players/m/middlli01.html,1982,MNS,/teams/MNS/1982.html,26,3,,0,0,2,7,,,,3.00,0,140,,,,,,0,0,0,0
Greg Millen,/players/m/millegr01.html,1982,HAR,/teams/HAR/1982.html,24,55,,11,30,12,229,,,,4.29,0,3201,,,,,,0,0,0,2
Eddie Mio,/players/m/mioed01.html,1982,NYR,/teams/NYR/1982.html,28,25,,13,6,5,89,,,,3.56,0,1500,,,,,,0,0,0,4
Mike Moffat,/players/m/moffami01.html,1982,BOS,/teams/BOS/1982.html,19,2,,2,0,0,6,,,,3.00,0,120,,,,,,0,0,0,0
Andy Moog,/players/m/moogan01.html,1982,EDM,/teams/EDM/1982.html,21,8,,3,5,0,32,,,,4.81,0,399,,,,,,0,1,1,2
Phil Myre,/players/m/myreph01.html,1982,CLR,/teams/CLR/1982.html,33,24,,2,17,2,112,,,,5.35,0,1256,,,,,,0,2,2,0
