"name","gp","g","a","hits","blocks","ppp","shg","sog","fow"
"Shawn Thornton","49"," 3.808"," 3.69"," 74.7","  9.46","-0.3685"," 1.2e-01"," 52.2"," 12.6"
"Adam Pelech","31"," 1.158"," 4.44"," 50.9"," 49.34"," 0.6675"," 2.7e-02"," 27.0","  0.0"
"Matt Halischuk","41"," 4.530"," 4.57"," 56.0"," 17.28"," 0.5637"," 7.7e-02"," 41.6","  6.2"
"Derrick Pouliot","37"," 2.116"," 6.80"," 31.2"," 33.94"," 1.8932"," 1.8e-02"," 40.4","  0.0"
"Griffin Reinhart","34"," 0.445"," 2.48"," 70.3"," 51.19","-0.1931"," 1.1e-02"," 23.8","  0.0"
"Ryan Hartman","29"," 2.976"," 4.76"," 49.1"," 23.94"," 0.8861"," 1.0e-01"," 27.5"," 11.3"
"Craig Cunningham","35"," 3.426"," 2.98"," 57.0"," 15.32"," 0.2235"," 1.3e-01"," 36.6"," 17.8"
"Colton Sissons","42"," 3.213"," 4.11"," 45.6"," 22.13","-0.5601"," 1.1e-01"," 33.0","168.9"
"Rich Clune","37"," 2.034"," 2.67","107.1"," 12.92","-0.3049"," 2.3e-02"," 18.3","  0.0"
"Matt Greene","39"," 1.331"," 4.56"," 70.5"," 25.59"," 0.9590"," 8.1e-03"," 30.3","  0.0"
"Chris Porter","42"," 1.966"," 1.78","105.5"," 13.26","-1.0665"," 4.2e-02"," 30.2","  0.0"
"Casey Nelson","31"," 1.990","11.37"," 20.5"," 21.13"," 6.1399","-1.1e-01"," 25.2","  0.0"
"Cody Goloubef","40"," 0.639"," 5.83"," 40.4"," 47.33"," 0.7459"," 3.1e-02"," 33.1","  0.0"
"Lucas Lessio","36"," 2.730"," 2.95"," 73.0"," 16.86","-0.0903"," 6.4e-02"," 35.9","  0.0"
"Korbinian Holzer","37"," 0.391"," 3.37"," 73.3"," 42.71"," 0.0525"," 1.3e-02"," 21.6","  0.0"
"Landon Ferraro","40"," 3.471"," 4.27"," 66.4"," 20.85"," 0.0952"," 1.1e-01"," 42.1"," 18.0"
"Frederik Gauthier","32"," 1.787"," 3.35"," 42.0"," 25.62","-0.2578"," 1.1e-01"," 15.0","223.0"
